n*lambda/pm,R0/Bq,R1/Bq,R2/Bq,R3/Bq,R4/Bq,R5/Bq,R6/Bq,R7/Bq,R8/Bq
23.6178687032686,NaN,NaN,NaN,NaN,NaN,NaN,1.7,2.5,3.3
24.6013344740496,NaN,NaN,NaN,NaN,NaN,NaN,1.9,3,2.1
25.5847253048992,NaN,NaN,NaN,NaN,NaN,NaN,1.4,2,2.6
26.5680382002384,NaN,NaN,NaN,NaN,NaN,NaN,1.8,2.1,2.8
27.5512701647258,NaN,NaN,NaN,NaN,NaN,NaN,1.4,1.9,2.4
28.5344182032664,NaN,NaN,NaN,NaN,NaN,1.9,2.1,2.7,2.7
29.5174793210204,NaN,NaN,NaN,NaN,NaN,1.5,1,2,4.2
30.5004505234132,NaN,NaN,NaN,NaN,NaN,1.3,1.6,2.7,3.6
31.4833288161444,NaN,NaN,NaN,NaN,NaN,1.9,2.6,1.9,6.5
32.466111205196,NaN,NaN,NaN,NaN,NaN,1.1,1.4,3.7,13.6
33.4487946968424,NaN,NaN,NaN,NaN,NaN,1.5,1.6,9.4,57.4
34.4313762976592,NaN,NaN,NaN,NaN,1.2,1,2.5,40.9,179.2
35.4138530145328,NaN,NaN,NaN,NaN,1.05,1.2,3.6,147.1,366.9
36.3962218546684,NaN,NaN,NaN,NaN,1.3,1.2,18.4,320.2,607.3
37.3784798256,NaN,NaN,NaN,NaN,1.1,1.9,74.6,525.9,759.9
38.3606239352,NaN,NaN,NaN,NaN,1.5,4,198.4,686.3,877.1
39.3426511916866,NaN,NaN,NaN,NaN,1.6,21.9,357.5,776.3,947.4
40.3245586036348,NaN,NaN,NaN,NaN,1.45,80.2,507.8,864.2,1026.5
41.3063431799842,NaN,NaN,NaN,1,2.7,194,602.7,905.6,1044.7
42.2880019300488,NaN,NaN,NaN,1.15,17.75,339.1,686.7,970.3,1080.6
43.2695318635258,NaN,NaN,NaN,0.55,61.85,438.5,745.4,988.3,1111.3
44.2509299905046,NaN,NaN,NaN,0.9,154.7,503.8,793.8,1027.4,1123
45.2321933214764,NaN,NaN,NaN,5.55,256.4,570.2,812.6,1023.3,1114.5
46.213318867343,NaN,NaN,NaN,27.15,345.8,621.5,852.3,1038.4,1145.8
47.194303639426,NaN,NaN,NaN,77.95,406.8,636,848.9,1044.7,1123.8
48.1751446494752,NaN,NaN,NaN,157.65,447.45,677.3,879.5,1054.6,1124.1
49.1558389096792,NaN,NaN,5,225,490.8,698.6,869.3,1045.1,1119.5
50.136383432673,NaN,NaN,20.6,293.75,528.4,715.6,892.8,1045.4,1119.7
51.116775231548,0.4666666667,0.4,60.03333333,325.65,542.95,722,886,1031.4,1095.9
52.0970113198608,0.4666666667,0.5666666667,122.3666667,366.65,571.9,733.7,904.9,1035,1094.9
53.077088711642,1.166666667,1.2,174.8333333,381.9,571.95,742.9,877.4,994.3,1050.4
54.0570044214064,5.5,4.6,212.5333333,411.8,578.2,726.7,874.3,984.8,1033.5
55.0367554641604,20.16666667,21.1,241.2,410.5,568.85,699.6,831.4,951,984
56.0163388554124,53.46666667,54.23333333,267.3,427.8,571.6,703.1,828.6,922.3,997
56.9957516111818,90.16666667,95.36666667,286,429.15,570.25,NaN,NaN,NaN,NaN
57.9749907480072,134.1,132.2333333,299.4,439.85,573.8,NaN,NaN,NaN,NaN
58.9540532829566,153.5666667,153.2666667,303.7333333,436.25,554.1,NaN,NaN,NaN,NaN
59.9329362336356,180.6333333,182.9333333,343.5,484.9,NaN,NaN,NaN,NaN,NaN
60.9116366181968,219.9,216.2666667,401.4333333,593.8,NaN,NaN,NaN,NaN,NaN
